0.00,242.27,113.70,185.16,429.83,518.29,320.09,474.75,679.13,746.09,533.67
245.42,0.00,210.65,165.16,241.06,622.88,348.81,217.67,969.21,552.30,344.67
132.17,183.58,0.00,227.69,499.25,405.59,194.01,382.33,946.46,678.82,479.22
186.80,188.09,216.95,0.00,252.11,720.19,478.23,347.85,797.70,485.02,440.68
398.12,220.10,510.57,254.94,0.00,982.43,607.61,162.68,1113.80,475.50,345.61
557.35,672.20,404.49,660.13,1024.76,0.00,260.10,783.87,1129.84,1067.79,579.16
305.91,356.60,193.77,454.23,633.40,298.05,0.00,464.59,927.91,954.53,351.66
477.71,228.57,401.04,390.01,143.73,837.06,590.75,0.00,1311.21,582.96,243.76
709.59,821.86,704.40,857.02,980.90,1123.53,1155.91,1061.87,0.00,777.48,1234.06
622.43,580.27,677.82,550.33,432.64,1328.08,840.76,582.27,785.73,0.00,768.68
601.12,361.24,432.59,574.53,357.96,607.80,349.71,243.28,1369.22,773.93,0.00
