0.00,242.70,605.09,720.15,374.82,122.61,262.58,592.25,547.56,104.66,661.43,561.46,337.12,551.24,721.28,537.31,439.62,470.98,344.90,440.12,590.05
245.05,0.00,664.20,712.75,552.15,188.93,36.33,330.00,420.31,161.80,732.88,522.94,121.15,495.05,840.14,382.82,540.76,674.57,527.82,303.65,402.61
591.51,768.82,0.00,270.71,209.18,495.70,667.83,656.11,381.78,531.79,204.83,1268.55,633.72,1440.52,321.16,733.96,155.21,1151.67,694.34,912.37,453.73
634.77,863.71,309.71,0.00,284.53,587.01,798.86,792.55,600.01,686.05,111.45,1445.63,694.74,1205.88,108.03,803.24,338.97,1115.24,657.75,1196.92,774.44
407.06,526.60,223.53,270.07,0.00,326.58,549.36,537.31,456.67,376.74,162.78,1229.09,440.00,927.29,335.98,540.30,122.26,802.40,511.57,741.85,559.28
121.36,188.31,528.58,548.74,399.68,0.00,153.67,494.84,473.04,32.93,538.16,639.19,209.11,648.94,591.13,518.81,402.50,561.71,438.08,418.39,490.29
202.47,36.13,678.62,836.50,515.42,168.29,0.00,318.92,406.12,127.73,589.44,533.32,108.13,635.70,868.57,368.42,417.31,664.04,597.05,387.75,421.04
585.13,364.35,694.10,831.69,536.47,489.51,404.36,0.00,290.35,475.73,698.30,643.82,251.83,672.80,869.27,34.65,496.47,972.96,760.41,516.34,290.57
631.62,419.48,392.54,629.57,385.73,425.16,395.47,346.42,0.00,460.50,503.24,919.26,304.88,1057.85,688.06,343.56,292.32,1053.38,1012.05,714.55,85.39
111.52,161.79,590.78,642.36,382.63,30.91,127.66,398.00,498.13,0.00,614.53,649.54,236.81,673.19,851.19,412.04,357.69,546.27,379.57,521.90,567.14
625.49,669.45,181.33,106.02,165.67,472.18,579.83,719.61,560.46,605.79,0.00,1092.46,646.18,1321.72,176.72,700.54,227.60,1080.82,612.84,1074.48,575.09
691.12,555.87,1248.74,1119.83,1225.97,658.63,495.73,684.16,944.59,717.39,1072.96,0.00,622.98,129.50,1348.33,696.75,1246.19,517.47,730.52,210.60,828.03
331.58,125.59,627.91,632.51,375.95,184.35,106.56,276.68,306.05,222.00,622.11,727.74,0.00,696.16,726.86,311.90,387.93,770.02,628.24,474.87,349.98
719.36,539.13,1264.23,1299.66,1176.75,699.45,503.39,675.12,957.21,574.29,1054.58,123.26,759.83,0.00,1615.42,715.67,1123.61,372.30,737.43,200.52,900.96
665.15,851.68,300.35,99.04,406.61,732.95,855.89,877.46,663.28,744.35,208.06,1639.77,737.87,1492.85,0.00,906.14,390.93,1176.28,719.90,1211.63,769.90
643.84,348.64,647.67,791.37,546.90,562.64,376.36,34.63,348.88,457.43,689.70,683.42,242.90,712.54,923.45,0.00,471.87,906.52,878.79,532.10,232.58
461.02,516.57,174.77,361.37,122.77,397.54,458.37,535.91,273.07,409.84,234.26,1122.56,456.34,990.09,391.32,480.18,0.00,948.40,678.51,945.43,399.05
479.00,723.88,1166.05,1030.18,827.17,566.32,660.39,1042.38,951.09,548.38,1003.54,552.76,686.91,411.41,1030.86,940.44,921.51,0.00,347.06,546.12,1117.63
328.85,602.72,703.03,637.56,530.16,422.90,504.35,985.62,859.53,404.68,601.86,701.99,689.90,649.60,678.68,949.70,623.82,475.80,0.00,523.46,987.09
479.70,376.49,901.98,1147.20,835.55,500.81,402.11,516.97,812.30,464.05,1092.68,222.15,502.84,209.91,1354.43,519.10,951.59,477.13,524.25,0.00,737.68
632.05,407.31,463.32,722.33,543.42,471.12,422.67,298.56,81.38,587.55,580.58,895.34,331.91,902.11,732.23,199.39,389.50,1155.85,821.90,684.78,0.00
